player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,undrafted,season_start_year,season_end_year,gp_pct
2071,16,0.15384615384615397,0.7500000000000004,0.48571428571428565,65,72,0.5689655172413808,0.125,0.17575757575757575,0.8333333333333334,0.12078651685393257,0.2625,0.034782608695652174,0.617816091954023,0.127,0.182,0.142,0.536,0.052,0,0.0,0.0,0.0,0.8658536585365854
1475,13,0.4615384615384617,0.6785714285714288,0.48571428571428565,117,72,,,,0.8333333333333334,0.11235955056179775,0.08125,0.06956521739130435,0.5416666666666667,0.016,0.115,0.151,0.535,0.099,0,1.0,0.0,0.0,0.8658536585365854
1466,2,0.42307692307692313,0.7142857142857144,0.5333333333333333,227,72,,,,0.8690476190476191,0.20505617977528087,0.25625000000000003,0.11304347826086955,0.3994252873563219,0.083,0.152,0.1669999999999999,0.542,0.1009999999999999,0,1.0,0.0,0.0,0.9024390243902439
1465,9,0.15384615384615397,0.6428571428571432,0.48571428571428565,189,72,0.5689655172413808,0.125,0.15151515151515152,0.4880952380952381,0.0898876404494382,0.08125,0.034782608695652174,0.3204022988505747,0.109,0.118,0.233,0.482,0.114,0,0.0,0.0,0.0,0.5121951219512195
1464,35,0.15384615384615397,0.535714285714286,0.438095238095238,249,72,0.551724137931032,0.25,0.30303030303030304,0.09523809523809523,0.03089887640449438,0.024999999999999998,0.026086956521739132,0.47844827586206895,0.087,0.045,0.135,0.47,0.125,0,0.0,0.0,0.0,0.10975609756097561
1449,8,0.6923076923076923,0.6785714285714288,0.5380952380952381,211,72,0.3448275862068968,0.25,0.18181818181818182,0.8214285714285714,0.07584269662921347,0.15000000000000002,0.017391304347826084,0.5790229885057472,0.092,0.146,0.1369999999999999,0.555,0.034,0,0.0,0.0,0.0,0.8536585365853658
1447,12,0.5769230769230771,0.3214285714285716,0.22380952380952368,98,72,0.39655172413792883,0.25,0.15151515151515152,0.8214285714285714,0.30337078651685395,0.14375000000000002,0.4173913043478261,0.4841954022988506,0.023,0.088,0.192,0.597,0.289,0,0.0,0.0,0.0,0.8536585365853658
1441,28,0.1923076923076924,0.6428571428571432,0.41428571428571426,330,72,0.5689655172413808,0.25,0.18787878787878787,0.3333333333333333,0.06741573033707865,0.18125000000000002,0.0,0.45545977011494254,0.113,0.201,0.133,0.481,0.0139999999999999,0,0.0,0.0,0.0,0.35365853658536583
1440,28,0.23076923076923084,0.5714285714285716,0.3666666666666668,287,72,0.551724137931032,0.25,0.2909090909090909,0.8809523809523809,0.2247191011235955,0.25,0.14782608695652175,0.4224137931034483,0.086,0.122,0.177,0.525,0.125,0,0.0,0.0,0.0,0.9146341463414634
1439,30,0.5384615384615385,0.6428571428571432,0.5333333333333333,248,72,0.4310344827586192,0.125,0.12727272727272726,0.47619047619047616,0.24719101123595508,0.30625,0.08695652173913043,0.5761494252873564,0.084,0.186,0.1669999999999999,0.589,0.072,0,0.0,0.0,0.0,0.5
1438,28,0.3846153846153848,0.6785714285714288,0.6285714285714287,189,72,,,,0.41666666666666663,0.03089887640449438,0.09999999999999999,0.008695652173913044,0.5416666666666667,0.107,0.176,0.118,0.4629999999999999,0.043,0,1.0,0.0,0.0,0.43902439024390244
1433,13,0.5769230769230771,0.5000000000000004,0.3666666666666668,7,72,0.3793103448275872,0.875,0.9696969696969697,0.9166666666666666,0.3146067415730337,0.16875,0.3391304347826087,0.6091954022988506,0.0279999999999999,0.075,0.139,0.662,0.172,0,0.0,0.0,0.0,0.9512195121951219
1417,35,0.1923076923076924,0.7142857142857144,0.41428571428571426,151,72,0.5689655172413808,0.125,0.012121212121212121,0.7380952380952381,0.401685393258427,0.375,0.1217391304347826,0.507183908045977,0.079,0.165,0.241,0.523,0.092,0,0.0,0.0,0.0,0.7682926829268293
1416,31,0.1923076923076924,0.4285714285714288,0.24761904761904752,177,72,0.5689655172413808,0.25,0.2787878787878788,0.23809523809523808,0.09550561797752807,0.024999999999999998,0.07826086956521738,0.5862068965517242,0.027,0.07,0.221,0.523,0.1689999999999999,0,0.0,0.0,0.0,0.25609756097560976
1404,15,0.34615384615384626,0.6071428571428572,0.319047619047619,267,72,0.5,0.125,0.08484848484848485,0.9404761904761905,0.3651685393258427,0.16875,0.17391304347826086,0.41379310344827586,0.027,0.09,0.222,0.504,0.114,0,0.0,0.0,0.0,0.975609756097561
1403,5,0.15384615384615397,0.5714285714285716,0.557142857142857,76,72,0.5689655172413808,0.25,0.26666666666666666,0.6309523809523809,0.0702247191011236,0.16875,0.043478260869565216,0.5474137931034483,0.1689999999999999,0.2189999999999999,0.161,0.515,0.089,0,0.0,0.0,0.0,0.6585365853658537
1389,32,0.3846153846153848,0.3571428571428572,0.13809523809523805,140,72,0.4655172413793096,0.125,0.01818181818181818,0.8809523809523809,0.3707865168539326,0.08125,0.20869565217391303,0.45833333333333337,0.009,0.059,0.2339999999999999,0.524,0.154,0,0.0,0.0,0.0,0.9146341463414634
1367,28,0.3076923076923077,0.5000000000000004,0.34285714285714286,135,72,0.5172413793103416,0.25,0.1696969696969697,0.6309523809523809,0.13764044943820225,0.0625,0.06956521739130435,0.44971264367816094,0.036,0.065,0.184,0.466,0.105,0,0.0,0.0,0.0,0.6585365853658537
